goal,status,count,percentage,total
overall,alcanzado,74,28.68217054263566,258
overall,noevaluado,16,6.2015503875969,258
overall,notapplicable,10,3.875968992248062,258
overall,notstarted,95,36.82170542635659,258
overall,progreso,36,13.953488372093023,258
overall,retroceso,27,10.465116279069768,258
1,alcanzado,6,46.15384615384615,13
1,noevaluado,1,7.6923076923076925,13
1,notapplicable,1,7.6923076923076925,13
1,notstarted,2,15.384615384615385,13
1,progreso,3,23.076923076923077,13
2,alcanzado,3,17.647058823529413,17
2,notstarted,7,41.17647058823529,17
2,progreso,3,17.647058823529413,17
2,retroceso,4,23.52941176470588,17
3,alcanzado,11,36.666666666666664,30
3,noevaluado,4,13.333333333333334,30
3,notstarted,7,23.333333333333332,30
3,progreso,4,13.333333333333334,30
3,retroceso,4,13.333333333333334,30
4,alcanzado,6,46.15384615384615,13
4,notstarted,3,23.076923076923077,13
4,progreso,3,23.076923076923077,13
4,retroceso,1,7.6923076923076925,13
5,alcanzado,4,28.57142857142857,14
5,notstarted,4,28.57142857142857,14
5,progreso,3,21.428571428571427,14
5,retroceso,3,21.428571428571427,14
6,alcanzado,4,36.36363636363637,11
6,noevaluado,1,9.090909090909092,11
6,notstarted,4,36.36363636363637,11
6,progreso,1,9.090909090909092,11
6,retroceso,1,9.090909090909092,11
7,alcanzado,4,66.66666666666666,6
7,notstarted,1,16.666666666666664,6
7,progreso,1,16.666666666666664,6
8,alcanzado,4,23.52941176470588,17
8,noevaluado,3,17.647058823529413,17
8,notstarted,5,29.411764705882355,17
8,progreso,5,29.411764705882355,17
9,alcanzado,3,23.076923076923077,13
9,notstarted,3,23.076923076923077,13
9,progreso,3,23.076923076923077,13
9,retroceso,4,30.76923076923077,13
10,noevaluado,1,7.142857142857142,14
10,notapplicable,1,7.142857142857142,14
10,notstarted,8,57.14285714285714,14
10,progreso,1,7.142857142857142,14
10,retroceso,3,21.428571428571427,14
11,alcanzado,9,60.0,15
11,notstarted,3,20.0,15
11,progreso,1,6.666666666666667,15
11,retroceso,2,13.333333333333334,15
12,alcanzado,5,38.46153846153847,13
12,notapplicable,1,7.6923076923076925,13
12,notstarted,6,46.15384615384615,13
12,progreso,1,7.6923076923076925,13
13,alcanzado,3,37.5,8
13,notapplicable,2,25.0,8
13,notstarted,2,25.0,8
13,progreso,1,12.5,8
14,alcanzado,2,20.0,10
14,notstarted,8,80.0,10
15,alcanzado,3,20.0,15
15,noevaluado,1,6.666666666666667,15
15,notstarted,8,53.333333333333336,15
15,progreso,3,20.0,15
16,alcanzado,3,12.0,25
16,noevaluado,1,4.0,25
16,notapplicable,2,8.0,25
16,notstarted,14,56.00000000000001,25
16,progreso,1,4.0,25
16,retroceso,4,16.0,25
17,alcanzado,4,16.666666666666664,24
17,noevaluado,4,16.666666666666664,24
17,notapplicable,3,12.5,24
17,notstarted,10,41.66666666666667,24
17,progreso,2,8.333333333333332,24
17,retroceso,1,4.166666666666666,24
